Nr,Kategorie,Szene,Für,Bild-Prompt,"Video-Prompt (Image-to-Video, 5 Sek)",Format
42,Reise & Strand,Sonnenuntergangs-Silhouette,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in loose beach clothing, peaceful expression in profile, natural skin. [Action]: standing at the waterline in half-silhouette, watching the sun sink into the sea. [Environment]: calm evening beach, mirror-wet sand, sun touching the horizon. [Cinematography]: wide three-quarter shot, subject off-center, horizon low, 9:16. [Lighting/Style]: deep orange sunset glow, cinematic end-of-day mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The sun sinks slowly as small waves wash around the feet, hair and clothing moving in the evening breeze, static camera, tranquil motion, face stays consistent and stable, no morphing.",9:16
43,Reise & Strand,Marktstand-Entdeckung,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a flowing summer dress with a woven bag, curious delighted expression, natural skin. [Action]: picking up a ripe mango at a colorful street market stall, vendor blurred behind. [Environment]: tropical market with fruit pyramids, hanging textiles, warm bustle. [Cinematography]: waist-up shot between stalls, shallow depth of field, 9:16. [Lighting/Style]: warm dappled market light, authentic travel mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person turns the mango in the hand and smiles, fabric of the dress moving lightly, market life drifting blurred behind, static camera, lively motion, face stays consistent and stable, no morphing.",9:16
44,Reise & Strand,Pool-Frühstück am Rand,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in an elegant swimsuit with a light kimono open over it, delighted expression, natural skin. [Action]: sitting at the pool edge with legs in the water, a floating breakfast tray beside. [Environment]: resort pool at morning, tropical plants, villa roofline behind. [Cinematography]: three-quarter shot from across the water, tray and legs in frame, 9:16. [Lighting/Style]: fresh morning resort light, indulgent vacation mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Ripples spread around the legs as the person lifts a croissant from the tray, water sparkling, the tray drifting slightly, static camera, gentle motion, face stays consistent and stable, no morphing.",9:16
45,Reise & Strand,Kajak in der Bucht,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a quick-dry shirt and life vest, adventurous focused expression, natural skin. [Action]: paddling a kayak across clear water, paddle mid-stroke, droplets from the blade. [Environment]: emerald bay framed by cliffs, water so clear the bottom shimmers. [Cinematography]: front three-quarter shot from water level, bow cutting towards camera, 9:16. [Lighting/Style]: bright clean daylight, active explorer mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The paddle dips rhythmically, droplets trailing, the kayak gliding forward slowly, cliffs passing gently behind, static camera, steady motion, face stays consistent and stable, no morphing.",9:16
46,Reise & Strand,Karte & Gasse,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a casual travel outfit with a crossbody bag, curious happy expression, natural skin. [Action]: standing in a colorful alley studying a paper city map, one finger tracing a route. [Environment]: old-town alley with pastel facades, laundry lines and flower pots above. [Cinematography]: waist-up shot, alley leading lines behind, 9:16. [Lighting/Style]: soft bounced alley light, charmed exploring mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The finger traces the route, the person looks up the alley and back to the map with a smile, laundry swaying above, static camera, curious motion, face stays consistent and stable, no morphing.",9:16
47,City & Nacht,Neonlicht-Portrait,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a black bomber jacket, cool composed expression, hands in pockets, natural skin. [Action]: leaning against a wall under neon signs, one foot flat against the wall. [Environment]: night alley with pink and cyan neon signs, wet asphalt reflecting colors. [Cinematography]: chest-up shot, neon rim light on both sides, 9:16. [Lighting/Style]: mixed neon glow with deep shadows, cinematic night mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Neon light flickers subtly across the face as the person shifts weight and glances aside, reflections trembling on the wet ground, slow push-in, moody motion, face stays consistent and stable, no morphing.",9:16
48,City & Nacht,Taxi-Fenster bei Regen,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in an elegant dark coat, thoughtful expression lit by passing lights, natural skin. [Action]: sitting in the back seat of a taxi, head turned to the rain-streaked window. [Environment]: night city through the window, blurred neon and traffic lights bending in raindrops. [Cinematography]: close side shot through the cabin, window bokeh dominant, 9:16. [Lighting/Style]: moving colored light patches, melancholic beautiful mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Raindrops run down the glass as colored lights sweep across the face, the person blinks slowly and keeps watching, static camera, hypnotic motion, face stays consistent and stable, no morphing.",9:16
49,City & Nacht,Rooftop-Bar Skyline,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in smart evening wear with a drink in hand, relaxed magnetic expression, natural skin. [Action]: standing at a rooftop bar railing holding a lowball glass, city behind. [Environment]: rooftop bar with warm string lights, glittering skyline panorama. [Cinematography]: three-quarter shot, string-light bokeh field behind, 9:16. [Lighting/Style]: warm bar glow against cool city night, sophisticated night mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Ice turns slowly in the glass as the person takes a small sip and looks over the skyline, string lights swaying subtly, slow orbit, smooth motion, face stays consistent and stable, no morphing.",9:16
50,City & Nacht,Zebrastreifen-Crossing,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in streetwear with a hood halfway up, confident forward gaze, natural skin. [Action]: crossing a wide illuminated crosswalk mid-step, hands relaxed. [Environment]: big-city intersection at night, giant billboards glowing, light trails of cars. [Cinematography]: full-body frontal shot, low angle, billboard glow behind, 9:16. [Lighting/Style]: billboard neon wash, urban main-character mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Billboards flicker behind as the person walks towards the camera with steady steps, cars streaking blurred at the edges, slow pull-back, iconic motion, face stays consistent and stable, no morphing.",9:16
51,City & Nacht,U-Bahn-Fenster,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a casual jacket with headphones on, introspective calm expression, natural skin. [Action]: standing in a subway car holding the rail, reflection visible in the dark window. [Environment]: empty late-night subway car, tunnel lights strobing past the windows. [Cinematography]: side shot with double reflection in the glass, 9:16. [Lighting/Style]: cold interior light with strobing tunnel flashes, late-night mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Tunnel lights sweep past rhythmically, the reflection trembling with the ride, the person sways slightly with the train, static camera, rhythmic motion, face stays consistent and stable, no morphing.",9:16
52,City & Nacht,Nachtmarkt-Streetfood,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a casual tee under an open shirt, delighted hungry expression, natural skin. [Action]: lifting noodles from a paper box with chopsticks at a glowing food stall. [Environment]: asian night market, steam and lanterns, signs glowing in many colors. [Cinematography]: waist-up shot, stall glow as key light, steam drifting, 9:16. [Lighting/Style]: lantern warmth with neon accents, vibrant night-market mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Steam rises through the lantern light as the noodles lift from the box, the person blows lightly and smiles, crowd drifting blurred, static camera, lively motion, face stays consistent and stable, no morphing.",9:16
53,City & Nacht,Brücke mit Lichtspur,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a long wool coat, calm cinematic presence, natural skin. [Action]: standing at a bridge railing above a highway, watching light trails below. [Environment]: city bridge at night, red and white light trails streaming underneath. [Cinematography]: three-quarter shot from behind-side, trails leading into depth, 9:16. [Lighting/Style]: cool night tones with warm trail accents, contemplative epic mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Light trails stream endlessly below as the coat moves in the night wind, the person turns the head slightly towards the camera, slow push-in, cinematic motion, face stays consistent and stable, no morphing.",9:16
54,City & Nacht,Late-Night-Diner,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a denim jacket, tired happy expression after a long day, natural skin. [Action]: sitting at a diner counter with a milkshake, straw between the fingers. [Environment]: retro diner with neon sign in the window, chrome counter, jukebox glow. [Cinematography]: side shot down the counter, neon reflections on chrome, 9:16. [Lighting/Style]: diner neon mixed with warm tungsten, nostalgic night mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The straw stirs slowly, neon flickering in the window, the person takes a sip and smiles into the distance, static camera, mellow motion, face stays consistent and stable, no morphing.",9:16
55,City & Nacht,Skateboard unterm Laternenlicht,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in baggy pants and a graphic hoodie, playful focused expression, natural skin. [Action]: rolling slowly through a pool of streetlight, one foot pushing off. [Environment]: empty parking deck at night, pillars in rows, single lamp cones. [Cinematography]: wide tracking framing, long shadows across the concrete, 9:16. [Lighting/Style]: isolated lamp light in darkness, free-night-session mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Wheels rumble softly as the person glides through the light cone and into the next, shadow stretching and shrinking, slow pan, flowing motion, face stays consistent and stable, no morphing.",9:16
56,City & Nacht,Fahrstuhl zur Party,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a satin slip dress with subtle jewelry, excited elegant expression, natural skin. [Action]: checking the lipstick in the mirrored elevator wall, clutch under the arm. [Environment]: mirrored hotel elevator, warm spot light, floor numbers glowing. [Cinematography]: mirror POV chest-up shot, layered reflections, 9:16. [Lighting/Style]: warm flattering spot light, anticipation-glamour mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The person leans slightly to the mirror, adjusts a hair strand and smiles, floor lights ticking upward, static camera, elegant motion, face stays consistent and stable, no morphing.",9:16
57,Food & Café,Latte-Art-Moment,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a relaxed knit sweater, cozy content expression, natural skin. [Action]: receiving a cappuccino with fresh latte art, hands wrapping around the cup. [Environment]: specialty café counter, barista tools blurred, warm wood tones. [Cinematography]: close-up over the cup, art in focus, face softly behind, 9:16. [Lighting/Style]: warm café light, hygge coffee mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Steam curls from the cup as the person lifts it slightly and admires the art, milk foam trembling, static camera, cozy motion, face stays consistent and stable, no morphing.",9:16
58,Food & Café,Pasta frisch geschwenkt,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a rolled-sleeve shirt with a kitchen towel over the shoulder, proud chef expression, natural skin. [Action]: tossing fresh pasta in a pan over the stove, flames licking briefly. [Environment]: home chef kitchen, hanging pans, tomatoes and basil on the board. [Cinematography]: side shot at stove level, pan action sharp, 9:16. [Lighting/Style]: warm kitchen light with flame accents, passionate cooking mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The pan swings and the pasta lifts in an arc, steam bursting up, a brief flame flare, static camera, dynamic delicious motion, face stays consistent and stable, no morphing.",9:16
59,Food & Café,Croissant & Buchcafé,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a soft turtleneck with round reading glasses, absorbed peaceful expression, natural skin. [Action]: tearing a golden croissant beside an open book, crumbs on the plate. [Environment]: book café corner with shelves, rain outside the window. [Cinematography]: table-level shot, croissant and hands sharp, book blurred, 9:16. [Lighting/Style]: grey rain light with warm lamp mix, slow-reading mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Flakes fall as the croissant tears open gently, steam from the coffee drifting, a page lifting slightly, static camera, quiet motion, face stays consistent and stable, no morphing.",9:16
60,Food & Café,Ramen-Dampf,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a simple dark tee, eager delighted expression, chopsticks ready, natural skin. [Action]: lifting noodles high from a steaming ramen bowl, steam clouding upward. [Environment]: small ramen bar, counter seating, kitchen glow behind. [Cinematography]: frontal shot across the bowl, steam backlit, 9:16. [Lighting/Style]: warm kitchen backlight through steam, craving mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Steam billows as the noodles lift and lower slowly, broth rippling, the person leans in, static camera, appetizing motion, face stays consistent and stable, no morphing.",9:16
61,Food & Café,Frühstücks-Flatlay-Griff,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a white tee with a silver watch, casual fresh look, only arms and torso prominent, natural skin. [Action]: reaching into a rich breakfast table to grab a berry from a bowl. [Environment]: styled breakfast spread: pancakes, juice, flowers, linen napkins. [Cinematography]: top-down flatlay, hand entering frame, spread razor sharp, 9:16. [Lighting/Style]: bright soft daylight, fresh brunch mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The hand picks a berry while syrup is drizzled onto pancakes nearby, juice glass catching light, static top-down camera, tasty motion, face stays consistent and stable, no morphing.",9:16
62,Food & Café,Weinprobe im Keller,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in an elegant dark shirt, appreciative focused expression, natural skin. [Action]: swirling a glass of red wine, examining the color against the light. [Environment]: old wine cellar with barrels, warm candle-like lamps, bottle racks. [Cinematography]: chest-up shot, glass in the foreground light, 9:16. [Lighting/Style]: amber cellar glow, refined connoisseur mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The wine swirls in slow circles catching the light, the person brings it closer to the nose, dust motes drifting, static camera, elegant motion, face stays consistent and stable, no morphing.",9:16
63,Food & Café,Streetfood-Taco-Biss,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a casual open overshirt, eyes closed in delight, natural skin. [Action]: holding a loaded taco with both hands, about to take the first bite, mid-anticipation. [Environment]: mexican street stand with colorful bunting, grill smoke drifting. [Cinematography]: close waist-up shot, taco detail sharp, 9:16. [Lighting/Style]: warm evening stand light with smoke, honest streetfood joy. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","A little salsa drips as the person takes a careful first bite and nods slowly, smoke drifting through the light, static camera, satisfying motion, face stays consistent and stable, no morphing.",9:16
64,Food & Café,Matcha-Zubereitung,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a minimalist beige outfit, calm concentrated expression, natural skin. [Action]: whisking matcha in a ceramic bowl with a bamboo whisk, precise circular motion. [Environment]: japanese-inspired tea corner, tatami texture, single branch in a vase. [Cinematography]: 45-degree close shot on the bowl, hands and whisk sharp, 9:16. [Lighting/Style]: soft diffused zen light, mindful ritual mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The whisk moves in quick precise strokes as fine foam forms, steam rising faintly, the person slows and lifts the whisk, static camera, meditative motion, face stays consistent and stable, no morphing.",9:16
65,Food & Café,Eiscreme-Vergleich,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a colorful summer shirt, torn playful expression, natural skin. [Action]: holding two different ice cream cones, glancing between them undecided. [Environment]: gelato shop front with pastel awning, display case glowing behind. [Cinematography]: frontal waist-up shot, cones framing the face, 9:16. [Lighting/Style]: bright cheerful daylight, playful indulgence mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The gaze switches between the cones, one starts melting slightly, the person grins and licks the first, static camera, funny light motion, face stays consistent and stable, no morphing.",9:16
66,Food & Café,Grill-Flip am Abend,Mann,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a denim apron over a tee, confident grill-master expression, tongs in hand, natural skin. [Action]: flipping a steak on a flaming grill, sparks and smoke rising. [Environment]: backyard barbecue at dusk, string lights, friends blurred at a table behind. [Cinematography]: side shot at grill level, flare backlighting the smoke, 9:16. [Lighting/Style]: dusk blue with fire glow, weekend grill mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Flames flare as the steak flips and sizzles, smoke rolling through the string-light glow, the person nods satisfied, static camera, sizzling motion, face stays consistent and stable, no morphing.",9:16
67,Home & Cozy,Bücherregal-Auswahl,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a chunky cardigan over a tee, curious relaxed expression, natural skin. [Action]: pulling a book from a full floor-to-ceiling shelf, head tilted reading spines. [Environment]: warm home library wall, ladder, small reading lamp glowing. [Cinematography]: three-quarter shot along the shelf, depth of spines, 9:16. [Lighting/Style]: warm pooled lamp light, calm bookish mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","A book slides out slowly as the person opens it and turns a page, dust motes floating in the lamp light, static camera, quiet motion, face stays consistent and stable, no morphing.",9:16
68,Home & Cozy,Regen am Fenster mit Tee,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a soft grey hoodie, wistful cozy expression, natural skin. [Action]: sitting on a window bench hugging one knee, tea mug steaming on the sill. [Environment]: rainy window with running drops, blurred wet street below, blanket and cushion. [Cinematography]: side shot against the window light, rain bokeh, 9:16. [Lighting/Style]: cool rain light with warm interior contrast, sheltered cozy mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Raindrops race down the glass as steam rises from the mug, the person watches the street and sips slowly, static camera, peaceful motion, face stays consistent and stable, no morphing.",9:16
69,Home & Cozy,Vinyl auflegen,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a vintage band tee, nostalgic soft smile, natural skin. [Action]: lowering the needle onto a spinning vinyl record, other hand steadying the player. [Environment]: living room corner with record shelf, warm floor lamp, plant shadow on the wall. [Cinematography]: close over the turntable, hands and needle sharp, 9:16. [Lighting/Style]: amber evening lamp light, analog nostalgic mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The record spins as the needle sets down gently, a subtle vibration, the person closes the eyes briefly, static camera, warm motion, face stays consistent and stable, no morphing.",9:16
70,Home & Cozy,Pflanzen gießen,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a linen jumpsuit, caring content expression, natural skin. [Action]: watering a hanging plant with a brass can, drops falling from the leaves. [Environment]: urban jungle corner, monstera and pothos, morning light through gauze curtains. [Cinematography]: waist-up shot through leaves, layered green foreground, 9:16. [Lighting/Style]: soft green-filtered morning light, nurturing home mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Water drops fall from the leaves as the can tilts, leaves swaying lightly, curtain glowing, static camera, gentle motion, face stays consistent and stable, no morphing.",9:16
71,Home & Cozy,Kamin & Wolldecke,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — wrapped in a chunky wool blanket, sleepy happy expression, natural skin. [Action]: sitting on the floor in front of a fireplace, mug of cocoa with marshmallows. [Environment]: living room with crackling fireplace, warm stone, dim evening around. [Cinematography]: frontal low shot, fire glow as key light, 9:16. [Lighting/Style]: flickering firelight, deepest hygge mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Firelight flickers over the blanket as marshmallows bob in the cocoa, the person pulls the blanket tighter, static camera, snug motion, face stays consistent and stable, no morphing.",9:16
72,Home & Cozy,Sonntags-Pancakes-Wender,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a pajama set with fuzzy socks, playful morning grin, natural skin. [Action]: flipping a pancake in a pan mid-air, other hand slightly raised for balance. [Environment]: small cheerful kitchen, batter bowl and berries, radio on the shelf. [Cinematography]: side shot at pan level, pancake frozen mid-flip, 9:16. [Lighting/Style]: bright lazy-sunday light, playful home mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The pancake flips and lands back in the pan, batter sizzling, the person laughs briefly, static camera, fun motion, face stays consistent and stable, no morphing.",9:16
73,Home & Cozy,Katzen-Kuscheln auf dem Sofa,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in comfy loungewear, melted-heart expression, natural skin. [Action]: lying on a sofa with a cat curled on the chest, one hand stroking softly. [Environment]: cozy living room, soft throw pillows, warm afternoon light stripes. [Cinematography]: top-side close shot, cat and face in frame, 9:16. [Lighting/Style]: striped warm window light, pure comfort mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The cat's fur rises with slow breaths as the hand strokes gently, tail flicking once, the person smiles drowsily, static camera, tender motion, face stays consistent and stable, no morphing.",9:16
74,Home & Cozy,Puzzle-Abend,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a soft flannel shirt, concentrated cozy expression, natural skin. [Action]: placing a puzzle piece into a nearly finished landscape puzzle, leaning over the table. [Environment]: dining table with tea pot and dim pendant lamp, evening outside. [Cinematography]: top-45-degree shot, puzzle and hands sharp, 9:16. [Lighting/Style]: pooled pendant light, focused-evening mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The piece clicks into place, fingertips smoothing the area, steam drifting from the tea pot, slow push-in, satisfying motion, face stays consistent and stable, no morphing.",9:16
75,Home & Cozy,Bad mit Kerzen,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — with hair pinned up loosely, serene closed-eye expression, shoulders above the foam, natural skin. [Action]: relaxing in a foam bath, one hand resting on the tub edge near a book. [Environment]: candle-lit bathroom, eucalyptus hanging, foam softly reflecting flames. [Cinematography]: side chest-up shot, candles as bokeh field, 9:16. [Lighting/Style]: flickering candlelight, deep self-care mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Candle flames sway as foam drifts slowly, the hand dips lightly into the water, steam rising, static camera, tranquil motion, face stays consistent and stable, no morphing.",9:16
76,Home & Cozy,Umzugskarton-Erinnerung,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a practical tee and open flannel, touched nostalgic expression, natural skin. [Action]: lifting an old framed photo out of a moving box, dust caught in the light. [Environment]: half-furnished new room, stacked boxes, evening light through a bare window. [Cinematography]: waist-up shot, frame catching the window light, 9:16. [Lighting/Style]: raw warm evening light, bittersweet-new-chapter mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Dust floats through the light as the person wipes the frame and studies it, box flap tilting shut, slow push-in, emotional motion, face stays consistent and stable, no morphing.",9:16
77,Natur & Outdoor,Gipfelkreuz-Ankunft,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in hiking gear with a backpack, exhausted proud expression, cheeks flushed, natural skin. [Action]: reaching the summit and setting a hand on the summit cross, other on the hip. [Environment]: mountain peak above a sea of clouds, valleys deep below, distant ridgelines. [Cinematography]: wide three-quarter shot, small figure against big scenery, 9:16. [Lighting/Style]: crisp high-altitude light, epic achievement mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Wind moves the jacket and hair as clouds drift below, the person breathes deeply and looks over the valley, slow pull-back, majestic motion, face stays consistent and stable, no morphing.",9:16
78,Natur & Outdoor,Waldlauf im Nebel,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in trail-running gear, focused steady expression, breath visible, natural skin. [Action]: running along a misty forest trail, mid-stride between tall pines. [Environment]: foggy pine forest, light shafts breaking through, soft ground. [Cinematography]: front tracking framing, low angle, fog layering depth, 9:16. [Lighting/Style]: diffused foggy dawn light, primal endurance mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Fog drifts between the trunks as the person runs steadily towards the camera, breath puffing, light shafts flickering, slow pull-back, rhythmic motion, face stays consistent and stable, no morphing.",9:16
79,Natur & Outdoor,See-Steg am Morgen,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a warm fleece with a beanie, still peaceful expression, natural skin. [Action]: sitting at the end of a wooden jetty, feet dangling over glassy water. [Environment]: mirror-calm alpine lake at dawn, mist bands, forested shore. [Cinematography]: wide shot from behind-side along the jetty, 9:16. [Lighting/Style]: pale dawn pastels, absolute stillness mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Mist drifts over the still water as tiny ripples spread from the feet, a bird crossing far away, static camera, meditative motion, face stays consistent and stable, no morphing.",9:16
80,Natur & Outdoor,Lagerfeuer-Funken,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a flannel jacket, warm relaxed expression lit by fire, natural skin. [Action]: poking a campfire with a stick, sparks rising into the dark. [Environment]: night campsite, tent glowing faintly, star field above the trees. [Cinematography]: chest-up shot, fire as key light from below, 9:16. [Lighting/Style]: orange fire glow under starlight, wilderness evening mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Sparks swirl upward as the stick stirs the embers, flames dancing on the face, the tent glowing behind, static camera, mesmerizing motion, face stays consistent and stable, no morphing.",9:16
81,Natur & Outdoor,Fahrrad durchs Feld,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a casual summer outfit with a light backpack, carefree laughing expression, natural skin. [Action]: riding a bicycle along a path through golden wheat fields, one hand briefly off the bar. [Environment]: endless wheat field, path curving, lone tree on the horizon. [Cinematography]: side tracking framing, wheat streaking softly, 9:16. [Lighting/Style]: late golden light, boundless-freedom mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Wheat sways in waves as the bicycle rolls steadily, hair and shirt fluttering, the person lifts the face into the sun, slow pan, joyful motion, face stays consistent and stable, no morphing.",9:16
82,Natur & Outdoor,Wasserfall-Staunen,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in an outdoor rain shell, awed expression, fine spray on the face, natural skin. [Action]: standing on wet rocks before a waterfall, looking up its full height. [Environment]: powerful waterfall in a green gorge, spray mist, moss-covered rocks. [Cinematography]: low wide shot, person small against the fall, 9:16. [Lighting/Style]: cool spray-diffused light, humbling nature mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Spray drifts across as the waterfall thunders down, the jacket hood fluttering, the person slowly lowers the gaze to the camera, static camera, powerful motion, face stays consistent and stable, no morphing.",9:16
83,Natur & Outdoor,Pferde-Begegnung am Zaun,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a knit sweater and boots, tender delighted expression, natural skin. [Action]: offering a flat hand to a horse over a wooden fence, careful and calm. [Environment]: pasture at golden hour, second horse grazing behind, soft hills. [Cinematography]: side shot at fence level, horse head and hand sharp, 9:16. [Lighting/Style]: honey golden light, gentle connection mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The horse's nostrils flare softly towards the hand, mane moving in the breeze, the person smiles quietly, static camera, tender motion, face stays consistent and stable, no morphing.",9:16
84,Natur & Outdoor,Zelt-Morgen-Reißverschluss,Beide,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a sleeping-bag-wrapped hoodie look, sleepy amazed expression, natural skin. [Action]: unzipping the tent from inside, revealing a mountain panorama. [Environment]: tent opening framing snowy peaks and morning valley fog. [Cinematography]: POV-adjacent shot from inside the tent, opening as natural frame, 9:16. [Lighting/Style]: cold fresh dawn light, reward-of-adventure mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","The zipper opens slowly revealing the peaks, cold breath visible, fog moving in the valley, static camera, unveiling motion, face stays consistent and stable, no morphing.",9:16
85,Natur & Outdoor,Kirschblüten-Spaziergang,Frau,"[Subject]: The person from the attached reference images — identical face, hairstyle and build as shown in the references — in a light trench coat, softly enchanted expression, natural skin. [Action]: walking under blooming cherry trees, one hand catching a falling petal. [Environment]: cherry blossom alley in full bloom, petals drifting like snow. [Cinematography]: three-quarter frontal shot, petal bokeh foreground, 9:16. [Lighting/Style]: soft pink diffused light, fleeting-beauty mood. [Technical]: Photorealistic, natural skin texture, face stays consistent with the reference images.","Petals rain gently as the person walks slowly forward and catches one, looking at it and smiling, slow pull-back, dreamy motion, face stays consistent and stable, no morphing.",9:16
